architecture,case,horizon,cell,mse,rmse,skill,ci95_low,ci95_high
unet,id_r256,16,R01,0.03427437483440769,0.18513339740416285,0.9346271146781531,0.9030980409434414,0.9611305002499422
unet,id_r256,16,R10,29.323373107788548,5.415106010761797,-54.92964180052033,-76.34765771637106,-36.8372123734305
unet,id_r256,16,R11,0.045337173655049204,0.21292527716325557,0.9135265962256782,0.8466505758817257,0.9579043754216411
unet,id_r256,31,A00,0.07481096011549306,0.27351592296517774,0.8734759846866805,0.79445805290657,0.922996433623256
unet,id_r256,31,A01,0.05182084628421556,0.22764192558537094,0.9123580082558596,0.8718104195030012,0.9422308415163865
unet,id_r256,31,A10,0.6068178653404543,0.7789851509113985,-0.02628054456463591,-0.28893065717831723,0.18553543790150928
unet,id_r256,31,A11,0.02288494690750136,0.15127771451043726,0.9612958399611615,0.9494028840026308,0.9712900912574096
unet,id_r256,31,R00,0.18359972052000598,0.42848537958722227,0.689487024164209,0.5184129836554953,0.8280328667680386
unet,id_r256,31,R01,0.1802045076113271,0.4245050148247098,0.695229177043767,0.5247411432937645,0.8326194031049419
unet,id_r256,31,R10,107.67339934031318,10.376579366068242,-181.10260643546562,-252.7088414208417,-120.66745743107276
unet,id_r256,31,R11,0.24866493405989998,0.49866314688364527,0.5794455000135109,0.09546212874477511,0.8447796303432019
unet,ood_r512,1,A00,0.007819022952953806,0.08842523934349178,0.8055417620322913,0.7939070148122084,0.8170209427812799
unet,ood_r512,1,A01,0.007706733567488883,0.08778800355110533,0.8083343866570518,0.796799585655619,0.8197197426257179
unet,ood_r512,1,A10,0.4824399829067169,0.6945789968799208,-10.998229134980503,-14.262431939288101,-8.386342188517817
unet,ood_r512,1,A11,0.00742701983587096,0.08618015917756801,0.8152908362944384,0.8009657797499884,0.8288682017792004
unet,ood_r512,1,R00,0.005353415449723375,0.07316703800020453,0.8668611485442629,0.8504935042286924,0.8830045911291423
unet,ood_r512,1,R01,0.005351240263648445,0.07315217196808613,0.8669152451819025,0.8505407862687547,0.8830377280555499
unet,ood_r512,1,R10,0.1020787034281901,0.3194975796906607,-1.5386860893118826,-2.5750763050802554,-0.6967697770700366
unet,ood_r512,1,R11,0.005534776057035856,0.0743960755486192,0.8623507302545435,0.8459073529302541,0.878379957482369
unet,ood_r512,4,A00,0.14584411162615313,0.38189541975016295,0.6544830525827046,0.6333602802748571,0.6745880966180856
unet,ood_r512,4,A01,0.14470283273602721,0.3803982554324181,0.6571868381100826,0.6360336859970205,0.6771892393180973
unet,ood_r512,4,A10,0.8246645548415289,0.9081104309727583,-0.9536995800178234,-1.328190785780364,-0.6406706405091329
unet,ood_r512,4,A11,0.14313028583094117,0.37832563464684915,0.660912333779792,0.6363914810786572,0.6828127365706051
unet,ood_r512,4,R00,0.2184161699373192,0.4673501577375568,0.4825537523464406,0.41532912454268295,0.5448928042254513
unet,ood_r512,4,R01,0.2182657022282054,0.46718915037509745,0.48291022298456376,0.4156681508435485,0.5453581803768559
unet,ood_r512,4,R10,1.9796380733353116,1.4069961170292231,-3.6899288319790946,-5.339114168343468,-2.285134512918593
unet,ood_r512,4,R11,0.22867558786337489,0.4782003637215,0.45824832976499597,0.39116142042271357,0.5208917590327982
unet,ood_r512,16,A00,0.7576505223222905,0.8704312277959072,-0.44458711622542224,-0.6118532284955506,-0.2976359808948854
unet,ood_r512,16,A01,0.7504978208388956,0.8663127731015489,-0.4309492975944158,-0.5929522778931182,-0.2884716145931502
unet,ood_r512,16,A10,1.19571682310684,1.0934883735581462,-1.279833599295487,-1.601872724068135,-1.0112246829386282
unet,ood_r512,16,A11,0.6943051451933395,0.8332497495909252,-0.3238085871056373,-0.46501377885424466,-0.19758141985360897
unet,ood_r512,16,R00,2.2491754124348478,1.4997251122905317,-3.2884281435923857,-4.093532496318498,-2.6207964017643604
unet,ood_r512,16,R01,2.233213561231667,1.4943940448327766,-3.2579942114299083,-4.057418305206898,-2.596111235367467
unet,ood_r512,16,R10,31.17910011696059,5.583824864459897,-58.44815584157184,-79.67869562187433,-40.514971883974205
unet,ood_r512,16,R11,2.501095242852039,1.581485138359523,-3.768755326931359,-4.788564904432998,-2.930402873693294
unet,ood_r512,31,A00,0.6927113682070201,0.8322928380125711,-0.17107383275026522,-0.35229035295907374,-0.022904297411088747
unet,ood_r512,31,A01,0.6729377266741515,0.8203278165917278,-0.13764519964256405,-0.28475914930689294,-0.007996509435076736
unet,ood_r512,31,A10,1.0937757494214828,1.0458373436732324,-0.8490993764974692,-1.1279298479468929,-0.6170777868473136
unet,ood_r512,31,A11,0.563014017335155,0.7503425999736087,0.04818801389186944,-0.0573308575271849,0.1423763754899634
unet,ood_r512,31,R00,5.082342468875104,2.2544051252769775,-7.592032046161384,-10.832782357278102,-5.053743104873674
unet,ood_r512,31,R01,5.005507467589598,2.2372991457535574,-7.462137455752556,-10.63914337266311,-4.979188648472971
unet,ood_r512,31,R10,111.87978713725882,10.577324195525955,-188.14009087109096,-258.69720578400893,-129.03947414121131
unet,ood_r512,31,R11,6.33309757434662,2.516564637426708,-9.70651528178045,-14.14010732537232,-6.255782141775083
unet,ood_r1024,1,A00,0.017104311534261223,0.13078345283047554,0.5747299386275339,0.5494346817342748,0.5994468963764115
unet,ood_r1024,1,A01,0.016972860145793363,0.13027992994238738,0.5779982572575615,0.5526815434812397,0.6026287811942882
unet,ood_r1024,1,A10,0.4917526684042882,0.7012507885231133,-11.226606552006912,-14.4935138317173,-8.617610347727185
unet,ood_r1024,1,A11,0.01685617090382559,0.12983131711503812,0.5808995398373216,0.5473435620265983,0.6126370631722053
unet,ood_r1024,1,R00,0.011834508616911566,0.1087865277362577,0.7057547627248393,0.6711948883675838,0.7396395464605414
unet,ood_r1024,1,R01,0.011831378048356272,0.1087721381988801,0.705832599069142,0.6712665573203108,0.7396998473531458
unet,ood_r1024,1,R10,0.10909818924742758,0.3303001502382758,-1.7125437667539782,-2.746900635567926,-0.8688944584371686
unet,ood_r1024,1,R11,0.012321468854197376,0.11100211193575273,0.6936473119466147,0.6574656306530892,0.7277512550606732
unet,ood_r1024,4,A00,0.2945986620500018,0.5427694372843793,0.3021788077656228,0.2639750164599822,0.33801849786147614
unet,ood_r1024,4,A01,0.2928343495575056,0.5411417093123626,0.30635796675575677,0.26821409221435477,0.3421705167776425
unet,ood_r1024,4,A10,0.9575334768715537,0.9785363952718129,-1.2681269079267765,-1.6402623076491596,-0.9544056638698172
unet,ood_r1024,4,A11,0.2923774692475497,0.5407193997329388,0.307440187429752,0.2561902545029867,0.35060009061738456
unet,ood_r1024,4,R00,0.47618932965475463,0.6900647285977994,-0.12795829905218592,-0.26687929226760426,-0.000428858364340293
unet,ood_r1024,4,R01,0.4756652099361232,0.6896848627714858,-0.12671680717172773,-0.2652933852325737,0.0004882831901174986
unet,ood_r1024,4,R10,2.2027608056607457,1.484170073024229,-4.217719459134691,-5.85050828173777,-2.839368612306941
unet,ood_r1024,4,R11,0.49642126585299284,0.7045716896476844,-0.17588205315487127,-0.31391490117917403,-0.04570745329340813
unet,ood_r1024,16,A00,0.7326927135813704,0.8559747155035424,-0.3968774967763067,-0.5821725931970004,-0.23784943992581875
unet,ood_r1024,16,A01,0.7215583576982433,0.8494459121675983,-0.3756498649383766,-0.5529580469094783,-0.22172119904080953
unet,ood_r1024,16,A10,1.1324014303363452,1.0641435196139406,-1.1589215315411634,-1.503824999661177,-0.88079045878305
unet,ood_r1024,16,A11,0.6325338393895547,0.795319960386733,-0.2059247619290825,-0.3584198949174024,-0.07735347490837906
unet,ood_r1024,16,R00,4.951865156321787,2.2252786693629605,-8.44072306946505,-10.76101676373141,-6.611359015255579
unet,ood_r1024,16,R01,4.8863668645019676,2.2105128057765167,-8.315850679956522,-10.54934884858925,-6.537117209886002
unet,ood_r1024,16,R10,32.93063538123384,5.738522055480299,-61.7822041435964,-82.64008718688953,-44.35707886259025
unet,ood_r1024,16,R11,5.704368778905526,2.388382042074828,-9.875370032844655,-12.476853304454385,-7.741088306755269
unet,ood_r1024,31,A00,0.8416229732035002,0.9174001161998511,-0.42267457544793574,-0.67646064995009,-0.2074324263146043
unet,ood_r1024,31,A01,0.8163082396818082,0.9034977806734271,-0.3798826972409197,-0.5992610702098501,-0.18355050633966097
unet,ood_r1024,31,A10,1.0872695227867573,1.042722169509576,-0.837914073139391,-1.1325325991567345,-0.591533985924538
unet,ood_r1024,31,A11,0.5904527611664853,0.768409240682649,0.0019020891062609957,-0.14836857673835668,0.1289441051337944
unet,ood_r1024,31,R00,16.203408801781737,4.025345799031648,-26.39014793065811,-39.2877060443032,-16.717826275427576
unet,ood_r1024,31,R01,15.614067446099916,3.9514639623941803,-25.39392873312699,-37.3017254552679,-16.350507667801747
unet,ood_r1024,31,R10,118.30453380612731,10.876788763515053,-198.981295384034,-268.3608261686186,-141.20429332281446
unet,ood_r1024,31,R11,18.754416822549025,4.330636999628233,-30.702357041461273,-41.85065978486154,-21.40307783199636
